Term,Asymptomatic,Symptomatic
Immunoglobulin V(D)J Recombination (GO:0033152),5.0,5.0
Import Into Cell (GO:0098657),4.0,4.0
Import Into Nucleus (GO:0051170),9.0,8.0
Inclusion Body Assembly (GO:0070841),5.0,5.0
Induction Of Positive Chemotaxis (GO:0050930),,2.0
Inflammatory Response (GO:0006954),3.0,7.0
Inflammatory Response To Wounding (GO:0090594),3.0,3.0
Inhibitory Synapse Assembly (GO:1904862),1.0,
Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220),,4.0
Innate Immune Response-Activating Signaling Pathway (GO:0002758),4.0,5.0
Inner Ear Receptor Cell Differentiation (GO:0060113),3.0,3.0
Inner Mitochondrial Membrane Organization (GO:0007007),4.0,1.0
Inorganic Anion Transmembrane Transport (GO:0098661),4.0,4.0
Inorganic Anion Transport (GO:0015698),3.0,1.0
Inorganic Cation Import Across Plasma Membrane (GO:0098659),1.0,
Inorganic Cation Transmembrane Transport (GO:0098662),6.0,5.0
Inositol Lipid-Mediated Signaling (GO:0048017),2.0,4.0
Inositol Phosphate-Mediated Signaling (GO:0048016),2.0,2.0
Insulin Metabolic Process (GO:1901142),3.0,4.0
Insulin Processing (GO:0030070),4.0,4.0
Insulin Receptor Signaling Pathway (GO:0008286),1.0,4.0
Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0048009),3.0,5.0
Integrated Stress Response Signaling (GO:0140467),5.0,5.0
Integrin Activation (GO:0033622),,2.0
Integrin-Mediated Signaling Pathway (GO:0007229),3.0,5.0
Interferon-Mediated Signaling Pathway (GO:0140888),2.0,4.0
Interleukin-1-Mediated Signaling Pathway (GO:0070498),4.0,7.0
Interleukin-12-Mediated Signaling Pathway (GO:0035722),,1.0
Interleukin-15-Mediated Signaling Pathway (GO:0035723),1.0,3.0
Interleukin-2-Mediated Signaling Pathway (GO:0038110),1.0,3.0
Interleukin-3-Mediated Signaling Pathway (GO:0038156),,2.0
Interleukin-4-Mediated Signaling Pathway (GO:0035771),1.0,3.0
Interleukin-5-Mediated Signaling Pathway (GO:0038043),1.0,3.0
Interleukin-6-Mediated Signaling Pathway (GO:0070102),1.0,3.0
Interleukin-9-Mediated Signaling Pathway (GO:0038113),1.0,3.0
Intermediate Filament Organization (GO:0045109),4.0,5.0
Internal Peptidyl-Lysine Acetylation (GO:0018393),9.0,13.0
Internal Protein Amino Acid Acetylation (GO:0006475),5.0,5.0
Interstrand Cross-Link Repair (GO:0036297),5.0,5.0
Intracellular Calcium Ion Homeostasis (GO:0006874),4.0,5.0
Intracellular Copper Ion Homeostasis (GO:0006878),2.0,1.0
Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),4.0,6.0
Intracellular Glucose Homeostasis (GO:0001678),2.0,2.0
Intracellular Iron Ion Homeostasis (GO:0006879),4.0,4.0
Intracellular Lipid Transport (GO:0032365),3.0,4.0
Intracellular Monoatomic Cation Homeostasis (GO:0030003),4.0,4.0
Intracellular Monoatomic Ion Homeostasis (GO:0006873),3.0,2.0
Intracellular Phosphate Ion Homeostasis (GO:0030643),3.0,1.0
Intracellular Potassium Ion Homeostasis (GO:0030007),2.0,2.0
Intracellular Protein Transmembrane Transport (GO:0065002),5.0,1.0
Intracellular Protein Transport (GO:0006886),14.0,13.0
Intracellular Sequestering Of Iron Ion (GO:0006880),1.0,1.0
Intracellular Sodium Ion Homeostasis (GO:0006883),1.0,2.0
Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),3.0,6.0
Intracellular Sterol Transport (GO:0032366),4.0,4.0
Intracellular Zinc Ion Homeostasis (GO:0006882),4.0,4.0
Intracellular pH Reduction (GO:0051452),4.0,4.0
Intraciliary Anterograde Transport (GO:0035720),2.0,4.0
Intraciliary Retrograde Transport (GO:0035721),1.0,1.0
Intraciliary Transport Involved In Cilium Assembly (GO:0035735),,2.0
Intrinsic Apoptotic Signaling Pathway (GO:0097193),6.0,7.0
Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:0072332),6.0,7.0
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),7.0,8.0
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),5.0,5.0
Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress (GO:0070059),4.0,6.0
Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress (GO:0008631),3.0,3.0
Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235),1.0,
Iron Ion Transport (GO:0006826),1.0,
Iron-Sulfur Cluster Assembly (GO:0016226),4.0,1.0
Isoleucine Metabolic Process (GO:0006549),2.0,
Isoprenoid Biosynthetic Process (GO:0008299),4.0,1.0
Isotype Switching (GO:0045190),3.0,3.0
JNK Cascade (GO:0007254),4.0,6.0
Keratan Sulfate Biosynthetic Process (GO:0018146),1.0,
Keratan Sulfate Metabolic Process (GO:0042339),1.0,
Ketone Body Metabolic Process (GO:1902224),4.0,1.0
Kidney Development (GO:0001822),5.0,7.0
Kidney Epithelium Development (GO:0072073),4.0,4.0
Kidney Mesenchyme Development (GO:0072074),1.0,1.0
Killing By Host Of Symbiont Cells (GO:0051873),,2.0
Kinetochore Assembly (GO:0051382),5.0,5.0
Kinetochore Organization (GO:0051383),5.0,5.0
L-alpha-amino Acid Transmembrane Transport (GO:1902475),5.0,4.0
L-amino Acid Transport (GO:0015807),5.0,4.0
L-arginine Transmembrane Transport (GO:1903826),2.0,1.0
L-ascorbic Acid Metabolic Process (GO:0019852),1.0,
L-aspartate Import Across Plasma Membrane (GO:0140009),2.0,3.0
L-aspartate Transmembrane Transport (GO:0070778),2.0,3.0
Lamellipodium Assembly (GO:0030032),4.0,7.0
Lamellipodium Organization (GO:0097581),6.0,10.0
Late Endosome To Lysosome Transport (GO:1902774),1.0,4.0
Late Endosome To Vacuole Transport (GO:0045324),1.0,3.0
Late Endosome To Vacuole Transport Via Multivesicular Body Sorting Pathway (GO:0032511),2.0,3.0
Late Nucleophagy (GO:0044805),3.0,3.0
Learning (GO:0007612),2.0,3.0
Leptin-Mediated Signaling Pathway (GO:0033210),1.0,1.0
Leucine Metabolic Process (GO:0006551),4.0,1.0
Leucine Transport (GO:0015820),3.0,2.0
Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756),,2.0
Leukocyte Aggregation (GO:0070486),,2.0
Leukocyte Cell-Cell Adhesion (GO:0007159),1.0,3.0
Leukocyte Chemotaxis Involved In Inflammatory Response (GO:0002232),1.0,
Leukocyte Tethering Or Rolling (GO:0050901),,2.0
Limb Development (GO:0060173),,1.0
Limb Morphogenesis (GO:0035108),4.0,4.0
Linoleic Acid Metabolic Process (GO:0043651),,2.0
Lipid Droplet Formation (GO:0140042),2.0,2.0
Lipid Droplet Organization (GO:0034389),4.0,5.0
Lipid Oxidation (GO:0034440),,2.0
Lipid Translocation (GO:0034204),2.0,
Lipid Transport (GO:0006869),2.0,1.0
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663),1.0,3.0
Lipoprotein Biosynthetic Process (GO:0042158),4.0,4.0
Lipoprotein Localization (GO:0044872),4.0,3.0
Lipoprotein Transport (GO:0042953),3.0,2.0
Liver Development (GO:0001889),5.0,5.0
Locomotor Rhythm (GO:0045475),5.0,5.0
Long-Chain Fatty Acid Import Into Cell (GO:0044539),1.0,1.0
Long-Chain Fatty Acid Metabolic Process (GO:0001676),6.0,1.0
Long-Chain fatty-acyl-CoA Biosynthetic Process (GO:0035338),3.0,1.0
Long-Chain fatty-acyl-CoA Metabolic Process (GO:0035336),5.0,3.0
Long-Term Synaptic Potentiation (GO:0060291),1.0,
Lung Development (GO:0030324),1.0,2.0
Lymphatic Endothelial Cell Differentiation (GO:0060836),2.0,2.0
Lymphocyte Activation Involved In Immune Response (GO:0002285),1.0,2.0
Lymphocyte Differentiation (GO:0030098),5.0,8.0
Lymphocyte Mediated Immunity (GO:0002449),2.0,3.0
Lymphocyte Proliferation (GO:0046651),,1.0
Lymphoid Progenitor Cell Differentiation (GO:0002320),3.0,3.0
Lysosomal Lumen Acidification (GO:0007042),4.0,4.0
Lysosomal Membrane Organization (GO:0097212),1.0,3.0
Lysosomal Microautophagy (GO:0016237),4.0,4.0
Lysosomal Transport (GO:0007041),5.0,7.0
Lysosome Localization (GO:0032418),5.0,7.0
Lysosome Organization (GO:0007040),3.0,2.0
Lytic Vacuole Organization (GO:0080171),1.0,1.0
MAPK Cascade (GO:0000165),7.0,10.0
MHC Class II Protein Complex Assembly (GO:0002399),1.0,2.0
Macroautophagy (GO:0016236),7.0,10.0
Macromolecule Biosynthetic Process (GO:0009059),14.0,9.0
Macromolecule Catabolic Process (GO:0009057),6.0,3.0
Macromolecule Modification (GO:0043412),6.0,6.0
Macrophage Activation (GO:0042116),1.0,3.0
Macrophage Activation Involved In Immune Response (GO:0002281),,1.0
Macrophage Differentiation (GO:0030225),1.0,4.0
Macropinocytosis (GO:0044351),1.0,1.0
Magnesium Ion Transport (GO:0015693),4.0,1.0
Maintenance Of Apical/Basal Cell Polarity (GO:0035090),3.0,3.0
Maintenance Of Blood-Brain Barrier (GO:0035633),4.0,8.0
Maintenance Of DNA Repeat Elements (GO:0043570),4.0,4.0
Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045199),3.0,3.0
Maintenance Of Protein Localization In Endoplasmic Reticulum (GO:0035437),4.0,4.0
Maintenance Of Protein Localization In Organelle (GO:0072595),,4.0
Maintenance Of Protein Location In Nucleus (GO:0051457),2.0,6.0
Malate Metabolic Process (GO:0006108),1.0,1.0
Male Gonad Development (GO:0008584),4.0,4.0
Male Meiosis I (GO:0007141),5.0,5.0
Mammary Gland Epithelium Development (GO:0061180),,2.0
Maturation Of 5.8S rRNA (GO:0000460),5.0,1.0
"Maturation Of 5.8S rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",5.0,1.0
Maturation Of LSU-rRNA (GO:0000470),6.0,1.0
"Maturation Of LSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",6.0,1.0
Maturation Of SSU-rRNA (GO:0030490),5.0,1.0
"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",5.0,1.0
Medium-Chain Fatty Acid Metabolic Process (GO:0051791),,2.0
Meiosis I (GO:0007127),3.0,3.0
Meiotic Sister Chromatid Cohesion (GO:0051177),5.0,5.0
Melanosome Assembly (GO:1903232),4.0,4.0
Melanosome Localization (GO:0032400),2.0,5.0
Melanosome Organization (GO:0032438),3.0,5.0
Melanosome Transport (GO:0032402),2.0,5.0
Membrane Assembly (GO:0071709),2.0,4.0
Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012),1.0,
Membrane Fission (GO:0090148),2.0,5.0
Membrane Fusion (GO:0061025),4.0,5.0
Membrane Invagination (GO:0010324),1.0,3.0
Membrane Lipid Biosynthetic Process (GO:0046467),7.0,3.0
Membrane Lipid Metabolic Process (GO:0006643),3.0,1.0
Membrane Organization (GO:0061024),8.0,10.0
Membrane Protein Ectodomain Proteolysis (GO:0006509),4.0,5.0
Membrane Protein Intracellular Domain Proteolysis (GO:0031293),4.0,4.0
Membrane Protein Proteolysis (GO:0033619),3.0,4.0
Memory (GO:0007613),4.0,5.0
Mesenchymal Cell Differentiation (GO:0048762),3.0,3.0
Mesenchymal Cell Differentiation Involved In Kidney Development (GO:0072161),1.0,1.0
Mesenchymal To Epithelial Transition (GO:0060231),5.0,5.0
Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis (GO:0003337),5.0,5.0
Mesenchyme Morphogenesis (GO:0072132),1.0,1.0
Mesoderm Formation (GO:0001707),3.0,3.0
Mesoderm Morphogenesis (GO:0048332),3.0,4.0
Mesodermal Cell Fate Commitment (GO:0001710),3.0,3.0
Mesonephros Development (GO:0001823),4.0,4.0
Metal Ion Transport (GO:0030001),5.0,1.0
Metallo-Sulfur Cluster Assembly (GO:0031163),4.0,1.0
Metanephros Development (GO:0001656),1.0,1.0
Metaphase Plate Congression (GO:0051310),2.0,7.0
Methylguanosine-Cap Decapping (GO:0110156),4.0,4.0
Microglial Cell Activation (GO:0001774),1.0,3.0
Microtubule Anchoring (GO:0034453),1.0,2.0
Microtubule Anchoring At Centrosome (GO:0034454),2.0,4.0
Microtubule Anchoring At Microtubule Organizing Center (GO:0072393),2.0,4.0
Microtubule Bundle Formation (GO:0001578),1.0,4.0
Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),9.0,10.0
Microtubule Depolymerization (GO:0007019),,2.0
Microtubule Nucleation (GO:0007020),4.0,6.0
Microtubule Polymerization (GO:0046785),7.0,9.0
Microtubule Polymerization Or Depolymerization (GO:0031109),,2.0
Microvillus Assembly (GO:0030033),1.0,2.0
Microvillus Organization (GO:0032528),,1.0
Midbody Abscission (GO:0061952),1.0,3.0
Midbrain Dopaminergic Neuron Differentiation (GO:1904948),1.0,
Mismatch Repair (GO:0006298),5.0,5.0
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),4.0,1.0
Mitochondrial Calcium Ion Homeostasis (GO:0051560),4.0,1.0
Mitochondrial Calcium Ion Transmembrane Transport (GO:0006851),4.0,1.0
Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),4.0,1.0
Mitochondrial DNA Metabolic Process (GO:0032042),7.0,4.0
Mitochondrial DNA Replication (GO:0006264),4.0,1.0
"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",4.0,1.0
"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",4.0,1.0
"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",4.0,1.0
Mitochondrial Fission (GO:0000266),6.0,3.0
Mitochondrial Fusion (GO:0008053),7.0,4.0
Mitochondrial Gene Expression (GO:0140053),9.0,6.0
Mitochondrial Genome Maintenance (GO:0000002),4.0,1.0
Mitochondrial Membrane Organization (GO:0007006),7.0,4.0
Mitochondrial Protein Processing (GO:0034982),4.0,1.0
Mitochondrial Proton-Transporting ATP Synthase Complex Assembly (GO:0033615),4.0,1.0
Mitochondrial RNA 3'-End Processing (GO:0000965),4.0,1.0
Mitochondrial RNA Metabolic Process (GO:0000959),4.0,1.0
Mitochondrial RNA Processing (GO:0000963),4.0,1.0
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),4.0,1.0
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),4.0,1.0
Mitochondrial Respiratory Chain Complex III Assembly (GO:0034551),4.0,1.0
Mitochondrial Ribosome Assembly (GO:0061668),4.0,1.0
Mitochondrial Transcription (GO:0006390),4.0,1.0
Mitochondrial Translation (GO:0032543),9.0,6.0
Mitochondrial Translational Elongation (GO:0070125),4.0,1.0
Mitochondrial Transport (GO:0006839),6.0,3.0
Mitochondrial tRNA Modification (GO:0070900),4.0,1.0
Mitochondrial tRNA Processing (GO:0090646),4.0,1.0
Mitochondrion Disassembly (GO:0061726),4.0,5.0
Mitochondrion Distribution (GO:0048311),3.0,3.0
Mitochondrion Morphogenesis (GO:0070584),3.0,
Mitochondrion Organization (GO:0007005),8.0,6.0
Mitochondrion Transport Along Microtubule (GO:0047497),6.0,6.0
Mitophagy (GO:0000423),4.0,5.0
Mitotic Cell Cycle Checkpoint Signaling (GO:0007093),4.0,4.0
Mitotic Cell Cycle Phase Transition (GO:0044772),10.0,12.0
Mitotic Chromosome Condensation (GO:0007076),5.0,5.0
Mitotic Cytokinesis (GO:0000281),3.0,6.0
Mitotic Cytokinetic Process (GO:1902410),1.0,3.0
Mitotic DNA Damage Checkpoint Signaling (GO:0044773),7.0,7.0
Mitotic DNA Integrity Checkpoint Signaling (GO:0044774),5.0,5.0
Mitotic DNA Replication (GO:1902969),4.0,4.0
Mitotic DNA Replication Checkpoint Signaling (GO:0033314),5.0,5.0
Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),5.0,5.0
Mitotic G1/S Transition Checkpoint Signaling (GO:0044819),3.0,3.0
Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095),4.0,4.0
Mitotic G2/M Transition Checkpoint (GO:0044818),5.0,5.0
Mitotic Metaphase Plate Congression (GO:0007080),9.0,14.0
Mitotic Nuclear Division (GO:0140014),12.0,12.0
Mitotic Nuclear Membrane Disassembly (GO:0007077),3.0,3.0
Mitotic Recombination (GO:0006312),6.0,6.0
Mitotic Sister Chromatid Cohesion (GO:0007064),6.0,6.0
Mitotic Sister Chromatid Segregation (GO:0000070),12.0,13.0
Mitotic Spindle Assembly (GO:0090307),5.0,7.0
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),8.0,8.0
Mitotic Spindle Checkpoint Signaling (GO:0071174),8.0,8.0
Mitotic Spindle Elongation (GO:0000022),5.0,5.0
Mitotic Spindle Midzone Assembly (GO:0051256),5.0,5.0
Mitotic Spindle Organization (GO:0007052),13.0,15.0
Mitotic intra-S DNA Damage Checkpoint Signaling (GO:0031573),6.0,6.0
Mitral Valve Morphogenesis (GO:0003183),3.0,3.0
Modification-Dependent Macromolecule Catabolic Process (GO:0043632),4.0,1.0
Modification-Dependent Protein Catabolic Process (GO:0019941),5.0,6.0
Modified Amino Acid Transport (GO:0072337),3.0,2.0
Modulation By Host Of Symbiont Process (GO:0051851),5.0,5.0
Modulation By Host Of Viral Genome Replication (GO:0044827),2.0,1.0
Modulation By Host Of Viral Process (GO:0044788),3.0,4.0
Modulation By Symbiont Of Entry Into Host (GO:0052372),1.0,1.0
Modulation Of Chemical Synaptic Transmission (GO:0050804),4.0,5.0
Modulation Of Excitatory Postsynaptic Potential (GO:0098815),1.0,1.0
Monoacylglycerol Catabolic Process (GO:0052651),1.0,
Monoacylglycerol Metabolic Process (GO:0046462),2.0,1.0
Monoamine Transport (GO:0015844),3.0,1.0
Monoatomic Anion Homeostasis (GO:0055081),4.0,3.0
Monoatomic Anion Transmembrane Transport (GO:0098656),5.0,3.0
Monoatomic Anion Transport (GO:0006820),4.0,1.0
Monoatomic Cation Homeostasis (GO:0055080),4.0,4.0
Monoatomic Cation Transmembrane Transport (GO:0098655),8.0,6.0
Monoatomic Cation Transport (GO:0006812),3.0,1.0
Monoatomic Ion Transport (GO:0006811),2.0,1.0
Monocarboxylic Acid Biosynthetic Process (GO:0072330),1.0,
Monocarboxylic Acid Catabolic Process (GO:0072329),1.0,
Monocarboxylic Acid Metabolic Process (GO:0032787),4.0,1.0
Monocarboxylic Acid Transport (GO:0015718),4.0,2.0
Mononuclear Cell Differentiation (GO:1903131),,1.0
Monoterpenoid Metabolic Process (GO:0016098),1.0,1.0
Monoubiquitinated Histone Deubiquitination (GO:0035521),2.0,6.0
Monoubiquitinated Histone H2A Deubiquitination (GO:0035522),2.0,6.0
Monoubiquitinated Protein Deubiquitination (GO:0035520),2.0,6.0
Morphogenesis Of An Endothelium (GO:0003159),2.0,2.0
Motor Neuron Axon Guidance (GO:0008045),,1.0
Multi-Ciliated Epithelial Cell Differentiation (GO:1903251),,2.0
Multi-Pass Transmembrane Protein Insertion Into ER Membrane (GO:0160063),5.0,1.0
Multicellular Organismal-Level Water Homeostasis (GO:0050891),1.0,1.0
Multivesicular Body Assembly (GO:0036258),2.0,4.0
Multivesicular Body Organization (GO:0036257),2.0,4.0
Multivesicular Body Sorting Pathway (GO:0071985),2.0,5.0
Multivesicular Body-Lysosome Fusion (GO:0061763),1.0,3.0
Muscle Cell Differentiation (GO:0042692),4.0,4.0
Muscle Cell Fate Commitment (GO:0042693),4.0,4.0
Muscle Cell Migration (GO:0014812),1.0,3.0
Muscle Contraction (GO:0006936),6.0,7.0
Muscle Filament Sliding (GO:0030049),1.0,1.0
Muscle Organ Development (GO:0007517),4.0,5.0
MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755),4.0,6.0
MyD88-independent Toll-Like Receptor Signaling Pathway (GO:0002756),4.0,5.0
Myelination (GO:0042552),3.0,
Myeloid Cell Activation Involved In Immune Response (GO:0002275),,2.0
Myeloid Cell Development (GO:0061515),,2.0
Myeloid Cell Differentiation (GO:0030099),5.0,5.0
Myeloid Leukocyte Differentiation (GO:0002573),,3.0
Myoblast Differentiation (GO:0045445),3.0,3.0
Myoblast Migration (GO:0051451),1.0,1.0
Myofibril Assembly (GO:0030239),3.0,3.0
N-glycan Processing (GO:0006491),1.0,1.0
NADH Dehydrogenase Complex Assembly (GO:0010257),4.0,1.0
NADP Metabolic Process (GO:0006739),1.0,1.0
NIK/NF-kappaB Signaling (GO:0038061),4.0,5.0
NLS-bearing Protein Import Into Nucleus (GO:0006607),3.0,1.0
Natural Killer Cell Activation (GO:0030101),1.0,4.0
Natural Killer Cell Activation Involved In Immune Response (GO:0002323),1.0,2.0
Natural Killer Cell Differentiation (GO:0001779),1.0,1.0
Natural Killer Cell Mediated Cytotoxicity (GO:0042267),,1.0
Natural Killer Cell Mediated Immunity (GO:0002228),1.0,1.0
Necroptotic Process (GO:0070266),,1.0
Negative Regulation By Host Of Viral Genome Replication (GO:0044828),2.0,2.0
Negative Regulation By Host Of Viral Process (GO:0044793),1.0,2.0
Negative Regulation By Host Of Viral Transcription (GO:0043922),5.0,5.0
Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232),4.0,7.0
Negative Regulation Of Actin Filament Depolymerization (GO:0030835),1.0,3.0
Negative Regulation Of Actin Filament Polymerization (GO:0030837),1.0,1.0
Negative Regulation Of Acute Inflammatory Response (GO:0002674),1.0,3.0
Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636),1.0,
Negative Regulation Of Alpha-Beta T Cell Differentiation (GO:0046639),4.0,4.0
Negative Regulation Of Amide Metabolic Process (GO:0034249),5.0,4.0
Negative Regulation Of Amyloid Fibril Formation (GO:1905907),1.0,1.0
Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985),4.0,3.0
Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992),4.0,5.0
Negative Regulation Of Amyloid-Beta Formation (GO:1902430),3.0,5.0
Negative Regulation Of Androgen Receptor Signaling Pathway (GO:0060766),5.0,5.0
Negative Regulation Of Angiogenesis (GO:0016525),,2.0
Negative Regulation Of Anoikis (GO:2000811),,2.0
Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858),1.0,3.0
Negative Regulation Of Apoptotic Process (GO:0043066),11.0,14.0
Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),7.0,11.0
Negative Regulation Of Autophagy (GO:0010507),4.0,7.0
Negative Regulation Of Axonogenesis (GO:0050771),3.0,3.0
Negative Regulation Of BMP Signaling Pathway (GO:0030514),2.0,3.0
Negative Regulation Of Binding (GO:0051100),7.0,7.0
Negative Regulation Of Blood Pressure (GO:0045776),1.0,
Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537),4.0,4.0
Negative Regulation Of Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:1903588),,1.0
Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),,2.0
Negative Regulation Of Calcineurin-Mediated Signaling (GO:0106057),2.0,2.0
Negative Regulation Of Calcium Ion Transmembrane Transport (GO:1903170),3.0,4.0
Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),4.0,5.0
Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090),8.0,9.0
Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),3.0,3.0
Negative Regulation Of Cardiac Muscle Hypertrophy (GO:0010614),3.0,3.0
Negative Regulation Of Cardiac Muscle Tissue Growth (GO:0055022),1.0,1.0
Negative Regulation Of Catabolic Process (GO:0009895),3.0,4.0
Negative Regulation Of Cation Channel Activity (GO:2001258),4.0,5.0
Negative Regulation Of Cation Transmembrane Transport (GO:1904063),1.0,2.0
Negative Regulation Of Cell Adhesion (GO:0007162),,2.0
Negative Regulation Of Cell Communication (GO:0010648),2.0,3.0
Negative Regulation Of Cell Cycle (GO:0045786),8.0,8.0
Negative Regulation Of Cell Cycle G1/S Phase Transition (GO:1902807),5.0,5.0
Negative Regulation Of Cell Cycle G2/M Phase Transition (GO:1902750),1.0,1.0
Negative Regulation Of Cell Cycle Phase Transition (GO:1901988),1.0,1.0
Negative Regulation Of Cell Cycle Process (GO:0010948),2.0,2.0
Negative Regulation Of Cell Death (GO:0060548),4.0,7.0
Negative Regulation Of Cell Differentiation (GO:0045596),5.0,5.0
Negative Regulation Of Cell Growth (GO:0030308),5.0,5.0
Negative Regulation Of Cell Junction Assembly (GO:1901889),5.0,7.0
Negative Regulation Of Cell Migration (GO:0030336),9.0,11.0
Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090051),,1.0
Negative Regulation Of Cell Motility (GO:2000146),6.0,8.0
Negative Regulation Of Cell Population Proliferation (GO:0008285),10.0,12.0
Negative Regulation Of Cell Projection Organization (GO:0031345),3.0,5.0
Negative Regulation Of Cell Size (GO:0045792),1.0,1.0
Negative Regulation Of Cell-Matrix Adhesion (GO:0001953),1.0,3.0
Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),6.0,8.0
Negative Regulation Of Cell-Substrate Junction Organization (GO:0150118),4.0,6.0
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327),5.0,2.0
Negative Regulation Of Cellular Catabolic Process (GO:0031330),3.0,7.0
Negative Regulation Of Cellular Component Organization (GO:0051129),5.0,8.0
Negative Regulation Of Cellular Metabolic Process (GO:0031324),6.0,6.0
Negative Regulation Of Cellular Process (GO:0048523),9.0,11.0
Negative Regulation Of Cellular Response To Insulin Stimulus (GO:1900077),1.0,3.0
Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus (GO:1902548),,1.0
Negative Regulation Of Cellular Senescence (GO:2000773),5.0,5.0
Negative Regulation Of Centriole Replication (GO:0046600),2.0,2.0
Negative Regulation Of Centrosome Duplication (GO:0010826),4.0,1.0
Negative Regulation Of Chemokine Production (GO:0032682),,1.0
Negative Regulation Of Cholesterol Storage (GO:0010887),5.0,5.0
Negative Regulation Of Cholesterol Transport (GO:0032375),,1.0
Negative Regulation Of Chromosome Organization (GO:2001251),5.0,5.0
Negative Regulation Of Cilium Assembly (GO:1902018),2.0,5.0
Negative Regulation Of Circadian Rhythm (GO:0042754),1.0,1.0
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),3.0,3.0
Negative Regulation Of Complement Activation (GO:0045916),,2.0
"Negative Regulation Of Complement Activation, Classical Pathway (GO:0045959)",,2.0
Negative Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904030),8.0,8.0
Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045736),8.0,8.0
Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),1.0,2.0
Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),4.0,7.0
Negative Regulation Of Cytokine Production (GO:0001818),4.0,7.0
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960),2.0,2.0
Negative Regulation Of Cytoskeleton Organization (GO:0051494),6.0,7.0
Negative Regulation Of DNA Binding (GO:0043392),5.0,5.0
Negative Regulation Of DNA Biosynthetic Process (GO:2000279),9.0,5.0
"Negative Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043518)",3.0,3.0
Negative Regulation Of DNA Metabolic Process (GO:0051053),10.0,6.0
Negative Regulation Of DNA Recombination (GO:0045910),10.0,6.0
Negative Regulation Of DNA Replication (GO:0008156),5.0,5.0
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),9.0,10.0
