##DEPset=2057,background_set=13434
p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.46971524257e-14	2.05060269558e-13	Hepatitis C - Homo sapiens (human)	KEGG	path:hsa05160	PPP2R1B; CLDN16; E2F1; NFKBIA; EGFR; BAX; CTNNB1; AKT1; AKT2; AKT3; SOS2; GSK3B; EIF2S1; YWHAZ; STAT3; STAT2; PIK3CA; BID; YWHAQ; PIK3CD; RB1; CFLAR; YWHAH; PIK3R3; PIK3R2; PIK3R1; JAK1; NFKB1; MYC; YWHAG; YWHAE; IFNG; FADD; CHUK; LDLR; TNF; FASLG; PPARA; TP53; KRAS; EIF2AK1; E2F3; CASP3; SOCS3; CCND1; IKBKB; SCARB1; PPP2CB; MAP2K1; CASP9; TLR3; CDK4; BRAF; CDK6; FAS	4609; 5293; 8772; 581; 595; 10000; 6773; 6774; 1147; 3716; 8837; 7533; 673; 5290; 5295; 5296; 4790; 4792; 842; 207; 208; 10971; 637; 3845; 1499; 5925; 8503; 9021; 836; 1869; 5465; 355; 356; 7531; 7532; 3949; 7534; 3458; 5516; 5519; 1956; 1965; 949; 7098; 1871; 10686; 7124; 27102; 3551; 5604; 7157; 2932; 1019; 1021; 6655	157	157
1.714785355e-14	2.2837823137e-13	Shigellosis - Homo sapiens (human)	KEGG	path:hsa05131	FNBP1; PTK2; ACTG1; CCL5; JUN; RPS27A; UBE2D2; ITGA5; BAX; UBE2D1; IKBKB; AKT1; AKT2; AKT3; ROCK2; CRK; VDAC1; CBX3; UBE2V2; CD44; CAST; ATM; PIK3CA; RPS6KB1; PIK3CD; ATG16L1; PIK3R3; PIK3R2; PIK3R1; ATG5; NFKB1; MAPK8; MAPK9; CUL1; MALT1; EGFR; ITGB1; RRAGD; NFKBIA; BECN1; RAC1; HK2; VCL; PRKCE; CHUK; FOXO1; PRKCD; NAIP; ATG12; TNF; MTOR; ARPC5; MDM2; ITPR1; BNIP3; IL18; TP53; RPS6KA5; ACTN4; WASL; TAB2; GSK3A; PLCG1; ACTR3C; GSK3B; TNIP1; IL1B; UBC; ACTB; CDC42; CXCL8; ELMO2; BCL2	2475; 23048; 8678; 3606; 653857; 9252; 6198; 60; 581; 4193; 23118; 81; 596; 6233; 3678; 3688; 5747; 1147; 3708; 10892; 3725; 7316; 664; 7321; 7322; 3099; 7336; 5290; 5293; 5295; 5296; 4790; 4792; 5581; 208; 5335; 207; 6352; 7414; 5879; 7416; 5601; 9474; 9475; 2308; 8454; 55054; 8976; 10000; 8503; 5599; 831; 3553; 10092; 2931; 2932; 1398; 4671; 3576; 1956; 71; 63916; 9140; 11335; 960; 58528; 5580; 7124; 10318; 472; 3551; 998; 7157	246	246
3.22256484765e-14	4.10526739287e-13	Viral carcinogenesis - Homo sapiens (human)	KEGG	path:hsa05203	HDAC1; CCNE1; PMAIP1; HDAC4; JUN; NFKBIA; KAT2B; BAX; IL6ST; SCRIB; HDAC2; YWHAZ; GTF2E1; GTF2E2; STAT3; EGR2; PIK3CA; RBPJ; YWHAQ; PIK3CD; RB1; YWHAH; HNRNPK; PIK3R3; PIK3R2; PIK3R1; JAK1; NFKB1; NFKB2; DDB1; YWHAG; CHEK1; CDKN2A; DDX3X; RBL2; RAC1; GTF2H3; CREB5; CREB1; KAT2A; CCNA2; MDM2; EP300; LYN; KRAS; DNAJA3; TBPL1; TP53; CASP3; ACTN4; CCND1; GTF2H2C; CCND2; CDC20; GTF2H1; CDK1; CDC42; PRKACA; CDK6; PRKACB; CDK4; YWHAE; CCNE2; ATF2	1029; 1111; 9759; 581; 81; 595; 2648; 4193; 1642; 1654; 3716; 8850; 5290; 5293; 5295; 5296; 4790; 4791; 4792; 3190; 10971; 5366; 5879; 3845; 983; 728340; 5925; 5934; 9519; 8503; 836; 3725; 6774; 1385; 1386; 7531; 7532; 7533; 7534; 9586; 890; 894; 898; 9093; 2960; 2961; 3065; 2965; 2967; 1959; 9134; 3516; 5566; 5567; 23513; 991; 4067; 998; 1021; 2033; 3572; 7157; 3066; 1019	204	203
8.6757614418e-14	1.05916587602e-12	Small cell lung cancer - Homo sapiens (human)	KEGG	path:hsa05222	PTGS2; PTK2; ITGA2; NFKBIA; ITGA6; IKBKB; AKT1; AKT2; AKT3; RARB; CCNE2; PIK3CA; CCNE1; PIK3CD; RB1; PIK3R3; PIK3R2; PIK3R1; NFKB1; MYC; ITGB1; TRAF4; CKS2; CHUK; BAX; COL4A1; LAMC2; TP53; LAMC1; E2F3; CASP3; E2F1; CCND1; XIAP; CASP9; PTEN; CDK4; CDK6; BCL2	4609; 581; 3655; 595; 596; 3673; 5728; 3688; 5747; 1147; 1164; 5290; 5293; 5295; 5296; 4790; 4792; 842; 207; 208; 1282; 10000; 5915; 5925; 8503; 331; 1869; 1871; 898; 9618; 836; 9134; 5743; 3915; 3918; 3551; 7157; 1019; 1021	92	92
1.05707204031e-13	1.23888843124e-12	Renal cell carcinoma - Homo sapiens (human)	KEGG	path:hsa05211	TGFB1; TGFB2; PIK3CD; RAP1B; HIF1A; GAB1; VHL; AKT2; AKT3; ELOC; CRK; PIK3CA; JUN; ETS1; PIK3R3; PIK3R2; PIK3R1; CUL2; RAC1; VEGFA; HGF; EP300; KRAS; EGLN3; SOS2; AKT1; MAP2K1; MET; BRAF; PAK4; PAK1; PAK2; CDC42	7040; 7042; 7428; 8453; 2113; 6921; 3082; 3725; 112399; 10000; 3091; 5908; 4233; 3845; 673; 2033; 5290; 5293; 5295; 5296; 5879; 10298; 5058; 5062; 8503; 207; 208; 5604; 998; 2549; 1398; 6655; 7422	69	69
1.59672797788e-13	1.79938960584e-12	Neurotrophin signaling pathway - Homo sapiens (human)	KEGG	path:hsa04722	MAP2K1; PIK3CD; NFKBIA; RAP1B; BAX; FRS2; IKBKB; AKT1; PLCG1; AKT3; SOS2; CRK; BDNF; CALM2; MAP3K3; MAP3K1; JUN; NTRK2; NTRK3; PIK3R3; PIK3R2; PIK3R1; NFKB1; MAPK8; MAPK9; YWHAE; BEX3; SHC1; RAC1; CAMK2D; PRKCD; FASLG; GAB1; KRAS; TP53; RPS6KA5; AKT2; GSK3B; PRDM4; BRAF; PIK3CA; SORT1; PDPK1; CDC42; BCL2	9252; 5170; 10818; 581; 596; 11108; 627; 4214; 4215; 6272; 7531; 3725; 673; 5290; 5293; 5295; 5296; 4790; 4792; 207; 208; 5335; 5879; 3845; 10000; 5908; 805; 817; 4915; 4916; 8503; 3551; 6464; 356; 2932; 1398; 27018; 7157; 5580; 5599; 5601; 5604; 998; 2549; 6655	119	119
1.73351433341e-13	1.88118407292e-12	Human cytomegalovirus infection - Homo sapiens (human)	KEGG	path:hsa05163	FADD; PTGS2; PTK2; PPP3R1; NFATC1; PIK3CD; NFKBIA; EGFR; BAX; CTNNB1; AKT1; AKT2; AKT3; SOS2; CRK; IL1B; CASP9; STAT3; TP53; PTGER4; PIK3CA; BID; CCL5; RPS6KB1; RB1; PRKACA; PRKACB; PIK3R3; PIK3R2; PIK3R1; CXCR4; MTOR; NFKB1; MYC; CDKN2A; RAC1; GNB5; SP1; CREB5; JAK1; CHUK; CREB1; TNF; VEGFA; CALM2; MDM2; ITPR1; KRAS; MAP2K1; IKBKB; E2F3; CASP3; E2F1; GNAS; CCND1; CXCL8; B2M; ROCK2; GSK3B; IL6; GNG5; CDK4; GNA13; CDK6; FAS; FASLG; ATF2	4609; 1029; 6667; 6198; 8772; 581; 595; 4193; 5734; 5743; 6774; 1147; 3708; 3716; 9586; 4772; 5290; 7852; 5293; 5295; 5296; 5747; 4790; 4792; 2932; 1398; 207; 6352; 2778; 208; 2787; 637; 5879; 7422; 9475; 3845; 10000; 5925; 1499; 805; 8503; 836; 842; 567; 1871; 355; 356; 1385; 1386; 1019; 5534; 1956; 2475; 10672; 10681; 5566; 5567; 1869; 7124; 3551; 3553; 5604; 1021; 3569; 7157; 3576; 6655	225	225
1.83532872597e-13	1.92054041682e-12	Lipid and atherosclerosis - Homo sapiens (human)	KEGG	path:hsa05417	HSPA1B; NFATC1; TNFSF10; VLDLR; PPP3R1; CCL5; PIK3CD; NFKBIA; RAP1B; BAX; PIK3R3; IKBKB; TNFRSF10B; AKT2; PTK2; MAP2K4; POU2F1; IL1B; GSK3B; EIF2S1; XBP1; IL6; STAT3; PIK3CA; BID; FOS; JUN; MIB1; JAK2; PIK3R2; PIK3R1; CXCL8; NFKB1; LYN; MAPK9; FAS; HSPA8; RAC1; CAMK2D; MMP9; CHUK; PPARG; LDLR; TNF; FASLG; HSP90AA1; CALM2; ITPR1; MAPK8; KRAS; IL18; CASP7; TP53; CASP3; AKT1; TAB2; PLCG1; ROCK2; CASP9; TLR2; AKT3; ABCA1; PDPK1; CDC42; BCL2	8795; 8743; 5170; 19; 581; 23118; 596; 6416; 6774; 3708; 637; 3717; 3725; 4772; 5290; 5293; 5295; 5296; 5747; 4790; 4792; 57534; 207; 208; 5335; 4318; 6352; 1147; 3304; 3312; 5879; 3320; 9475; 3845; 3606; 7436; 10000; 5908; 805; 2353; 3551; 836; 7494; 5601; 840; 842; 8503; 4067; 5468; 355; 356; 998; 3949; 5534; 1965; 7097; 5451; 7124; 817; 5599; 3553; 3569; 7157; 3576; 2932	215	215
2.99559702642e-13	3.02658596118e-12	TNF signaling pathway - Homo sapiens (human)	KEGG	path:hsa04668	MMP14; PTGS2; ITCH; CCL5; JUN; NFKBIA; IKBKB; AKT1; AKT2; AKT3; MAP2K4; IL1B; MAP3K8; BAG4; PIK3CA; PIK3CD; CFLAR; PIK3R3; PIK3R2; PIK3R1; FADD; EDN1; NFKB1; MAPK8; JAG1; FOS; CREB5; CHUK; CREB1; TNF; CASP3; CASP7; MAPK9; RPS6KA5; SOCS3; TAB2; MAP2K1; IL6; FAS; MAP3K14; MMP9; DNM1L; ATF2	5293; 9252; 8772; 182; 23118; 10000; 1385; 1147; 8837; 3725; 5743; 5290; 1906; 5295; 5296; 4790; 4792; 207; 6352; 4318; 208; 4323; 6416; 83737; 1326; 2353; 9530; 5599; 9020; 9021; 836; 5601; 840; 355; 1386; 9586; 8503; 10059; 7124; 3551; 3553; 5604; 3569	112	112
5.1626159414e-13	5.04215490276e-12	MAPK signaling pathway - Homo sapiens (human)	KEGG	path:hsa04010	PDGFRB; TGFB2; STMN1; PPP3R1; NFATC1; RRAS2; EGFR; RAP1B; IKBKB; HSPA1B; AKT2; AKT3; MAP2K4; CRK; BDNF; IGF1R; IL1B; MAP3K8; TP53; RASGRP3; MAP3K3; RASA1; MAP3K1; JUN; CACNA1E; NTRK2; PLA2G4F; MAPK8; SOS2; PRKACB; NF1; DUSP5; NFKB1; NFKB2; MAPK9; DUSP1; KDR; BRAF; ERBB2; TGFBR2; TGFBR1; HSPA8; CASP3; ERBB4; RAC1; EFNA5; NR4A1; FGF7; CHUK; FASLG; STK3; VEGFA; HGF; PRKACA; KITLG; CDC42; FGFR2; MYC; TAOK2; KRAS; IL1A; DUSP2; TGFB1; RPS6KA5; AKT1; TAB2; MAP2K1; MEF2C; MET; TNF; MAP3K14; EREG; ELK4; FAS; FLNA; FOS; PAK1; PAK2; ATF2	4609; 1398; 3082; 2064; 2066; 3304; 2069; 4215; 3845; 5159; 1843; 255189; 4791; 1946; 3164; 22800; 4208; 627; 6788; 4233; 3725; 208; 4763; 4254; 673; 4772; 6416; 25780; 4790; 3791; 4214; 2252; 2263; 9252; 1147; 3312; 5879; 7422; 9344; 777; 2316; 5908; 10000; 5921; 1326; 2353; 4915; 1844; 1847; 3551; 836; 5601; 3925; 355; 356; 9020; 1386; 7040; 7042; 7046; 207; 7048; 3480; 5534; 1956; 7124; 5566; 5567; 5058; 5062; 2005; 5599; 3552; 3553; 5604; 998; 7157; 23118; 6655	294	294
8.94430126299e-13	8.45380732276e-12	PI3K-Akt signaling pathway - Homo sapiens (human)	KEGG	path:hsa04151	IKBKB; AKT1; AKT2; AKT3; BDNF; MDM2; PIK3CA; PIK3CD; NTRK2; PIK3R3; MYC; MYB; BRCA1; IGF1R; DDIT4; ERBB4; CREB5; CREB1; FASLG; KITLG; FGFR2; KRAS; CCND1; PPP2CB; GSK3B; TLR2; PTEN; GNG5; ITGA9; CCND2; ITGA2; ITGA5; ITGA6; CCNE2; CCNE1; THBS1; JAK2; PIK3R2; PIK3R1; JAK1; CHUK; VEGFA; COL4A1; FGF7; LAMC1; EIF4B; TP53; PPP2R5C; PDGFRB; LAMC2; PIK3AP1; RPS6KB1; NFKB1; KDR; RBL2; GNB5; EFNA5; MTOR; PHLPP2; PHLPP1; SOS2; IL6; MET; CDK4; EREG; CDK6; HSP90AA1; ERBB2; PPP2R1B; PTK2; EGFR; PRKAA1; MAP2K1; MCL1; YWHAZ; BCL2L11; YWHAQ; YWHAH; YWHAG; YWHAE; ITGB1; RAC1; ITGB8; NR4A1; HGF; CASP9; PDPK1; BCL2; ATF2	118788; 2064; 2066; 2069; 6198; 4170; 4193; 4233; 4254; 2252; 207; 208; 2263; 10971; 8503; 356; 5527; 3480; 2475; 10681; 4602; 23035; 6655; 4609; 595; 596; 627; 672; 4790; 23239; 2787; 4915; 842; 2932; 894; 898; 7057; 9134; 7097; 7157; 1019; 1021; 3082; 5159; 5170; 3164; 1147; 5290; 5293; 5295; 5296; 3320; 1282; 1385; 1386; 7531; 7532; 7533; 7534; 9586; 5516; 5519; 5562; 3551; 5604; 3569; 3680; 3655; 54541; 3673; 3678; 5728; 3688; 3696; 5747; 3716; 3717; 7422; 3791; 5879; 3845; 10000; 10018; 5934; 3915; 3918; 1946; 1956; 1975	354	353
1.04872364846e-12	9.60237590622e-12	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	KEGG	path:hsa04550	WNT3A; SMAD4; SMAD5; JARID2; IGF1R; SMAD2; IL6ST; CTNNB1; AKT1; AKT2; AKT3; SMAD1; HAND1; SOX2; STAT3; FZD5; FZD6; PIK3CA; PIK3CD; DVL2; KLF4; JAK2; PIK3R2; PIK3R1; JAK1; PIK3R3; MYC; KRAS; ACVR2B; BMI1; REST; LEFTY1; SKIL; SMAD3; FGFR2; AXIN2; COMMD3-BMI1; PCGF2; PCGF5; WNT1; ID2; MAP2K1; GSK3B; BMPR2; FZD9; APC; WNT5A; ID4; LIFR	6657; 4609; 648; 7703; 7855; 93; 9314; 6774; 8313; 8323; 3716; 3720; 659; 5290; 5293; 5295; 5296; 89780; 9421; 207; 208; 2263; 3845; 10000; 3717; 1499; 8326; 7471; 7474; 8503; 1856; 324; 3398; 3400; 5978; 6498; 84333; 2932; 3977; 10637; 3480; 5604; 3572; 4086; 4087; 4088; 4089; 4090; 100532731	143	143
1.0898547566e-12	9.67658920253e-12	Salmonella infection - Homo sapiens (human)	KEGG	path:hsa05132	CXCL8; TNFSF10; ACTG1; MAP2K1; ARL8B; ROCK2; NFKBIA; GAPDH; BAX; FYCO1; CTNNB1; AKT1; AKT2; AKT3; RPS3; ACTR3C; MAP2K4; IL1B; DCTN4; DCTN5; IL6; TUBA1C; TUBA1B; FOS; PIK3CD; DYNLT3; CSE1L; TNF; IKBKB; FADD; NFKB1; MYC; MAPK9; RAB5A; RAC1; NAIP; TUBB3; ARPC5; CHUK; TXN2; PIK3C2A; JUN; PIK3CA; DYNC1LI2; DYNC1H1; MAPK8; TUBB2B; IL18; CASP7; CASP3; TNFRSF10B; WASL; TUBB4B; KIF5B; EXOC5; TUBB; TCF7L2; TCF7L1; TLR2; CDC42; KPNA3; ELMO2; KPNA1; TAB2; HSP90AA1; ACTB; FLNA; PAK1; RALA; BCL2	4609; 9475; 3606; 5286; 653857; 84516; 8743; 6188; 60; 8772; 581; 71; 23118; 79443; 596; 347733; 7097; 5879; 6934; 10376; 10381; 10383; 5290; 5293; 4790; 4792; 207; 208; 8795; 3799; 1147; 25828; 5868; 1778; 3320; 3836; 3839; 5898; 2316; 8976; 10000; 6416; 1499; 2353; 84790; 5599; 203068; 836; 3553; 840; 6990; 3725; 5604; 998; 10092; 3576; 10640; 1434; 55207; 63916; 5058; 1783; 7124; 51164; 3551; 5601; 83439; 3569; 2597; 4671	249	249
1.28935252047e-12	1.11111849558e-11	Measles - Homo sapiens (human)	KEGG	path:hsa05162	IFIH1; PIK3CD; NFKBIA; BAX; IKBKB; AKT1; AKT2; AKT3; IL1A; IL1B; GSK3B; EIF2S1; IL6; STAT3; STAT2; CCNE2; PIK3CA; BID; CCNE1; JUN; PIK3R3; PIK3R2; PIK3R1; FADD; NFKB1; MAPK8; MAPK9; HSPA8; FOS; JAK1; CHUK; FASLG; TP53; RACK1; CD28; CASP3; HSPA1B; EIF2AK1; TAB2; CCND2; CASP9; TLR2; CCND1; CDK4; TLR7; CDK6; FAS; BCL2	8772; 581; 23118; 51284; 6773; 6774; 894; 1147; 637; 3716; 64135; 3725; 10399; 5290; 5293; 5295; 5296; 4790; 4792; 842; 207; 208; 3304; 3312; 10000; 2353; 8503; 3551; 836; 5601; 2932; 355; 356; 898; 940; 1965; 9134; 7097; 27102; 5599; 3552; 3553; 596; 3569; 595; 7157; 1019; 1021	139	139
2.89549321786e-12	2.42394146524e-11	Autophagy - animal - Homo sapiens (human)	KEGG	path:hsa04140	MAP2K1; PIK3CD; HMGB1; RRAS2; UVRAG; HIF1A; AKT1; AKT2; AKT3; BECN1; RB1CC1; EIF2S1; ITPR1; PIK3CA; RPS6KB1; CFLAR; PIK3R3; PIK3R2; PIK3R1; ATG5; MAPK8; NRBF2; MTMR3; DAPK1; RRAGD; IGF1R; ULK1; DDIT4; PRKACB; CTSD; PRKCD; ATG4A; MTOR; PRKAA1; KRAS; PRAP1; BNIP3; ATG2B; MAPK9; IRS4; PPP2CB; ATG12; PTEN; PRKACA; ATG16L1; PDPK1; BCL2	115201; 3091; 5170; 6198; 3146; 1612; 596; 9821; 5728; 10000; 3708; 8897; 664; 58528; 5290; 5293; 5295; 5296; 29982; 118471; 207; 208; 8408; 7405; 9474; 3845; 1509; 54541; 55054; 22800; 8471; 8837; 8503; 55102; 5516; 3480; 2475; 1965; 9140; 5562; 5566; 5567; 5580; 5599; 5601; 5604; 8678	137	137
4.42540879949e-12	3.60179105069e-11	Chagas disease - Homo sapiens (human)	KEGG	path:hsa05142	TGFB1; TGFB2; CCL5; PIK3CD; NFKBIA; PPP2R1B; SMAD2; IKBKB; AKT1; AKT2; AKT3; MAP2K4; IL1B; SERPINE1; IL6; PIK3CA; JUN; CFLAR; PIK3R3; PIK3R2; PIK3R1; FADD; NFKB1; MAPK8; MAPK9; TGFBR2; TGFBR1; FOS; IFNG; CHUK; TNF; FASLG; GNAS; IL10; CXCL8; PPP2CB; TLR2; FAS; GNAL	3586; 8772; 10000; 1147; 8837; 3725; 5290; 5293; 5295; 5296; 4790; 4792; 207; 6352; 2774; 2778; 208; 7040; 7042; 6416; 2353; 8503; 5599; 5601; 355; 356; 3458; 7046; 7048; 5516; 5519; 7097; 5054; 7124; 3551; 3553; 3569; 4087; 3576	102	102
4.88708326715e-12	3.87004161426e-11	p53 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04115	PMAIP1; SESN3; ATM; BAX; TNFRSF10B; ZMAT3; RRM2; SERPINE1; PTEN; CCNE2; FAS; BID; CCNE1; THBS1; MDM4; CHEK2; CHEK1; CDKN2A; SIAH1; MDM2; SERPINB5; CCNB2; CCNB1; TP53; CASP3; CCND1; CCND2; CASP9; CDK1; CDK4; CDK6; BCL2	1029; 64393; 983; 898; 5268; 7057; 836; 6241; 355; 9133; 9134; 5054; 637; 11200; 581; 143686; 842; 6477; 595; 596; 1111; 472; 8795; 5728; 4193; 4194; 1019; 7157; 5366; 891; 1021; 894	73	73
5.86042744446e-12	4.51869800323e-11	Endometrial cancer - Homo sapiens (human)	KEGG	path:hsa05213	EGFR; BAX; TCF7L1; CTNNB1; AKT1; MAP2K1; AKT3; GSK3B; AXIN2; PIK3CA; PIK3CD; PIK3R3; PIK3R2; PIK3R1; CDH1; MYC; ERBB2; APC; KRAS; TP53; SOS2; CCND1; AKT2; TCF7L2; CASP9; PTEN; BRAF; PDPK1	4609; 10000; 6934; 324; 3845; 673; 1499; 1956; 5290; 5293; 581; 5295; 5296; 5170; 8503; 842; 207; 208; 595; 5728; 2064; 5604; 999; 83439; 2932; 7157; 8313; 6655	58	58
8.21843480944e-12	6.17436256196e-11	Bladder cancer - Homo sapiens (human)	KEGG	path:hsa05219	RASSF1; EGFR; MAP2K1; RB1; THBS1; CDH1; MYC; DAPK1; ERBB2; CDKN2A; VEGFA; TP53; MDM2; KRAS; E2F3; RPS6KA5; E2F1; CCND1; CXCL8; CDK4; BRAF; MMP9; MMP2	4609; 3845; 1871; 2064; 7057; 1029; 673; 9252; 5925; 11186; 1612; 1869; 595; 4313; 4318; 4193; 5604; 999; 1956; 7157; 3576; 1019; 7422	41	41
9.47492763905e-12	6.9403844956e-11	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	HDAC1; HDAC2; JUN; NFKBIA; BAX; PSMD2; IKBKB; AKT1; B2M; AKT3; MAP2K4; IL6; CD44; STAT3; STAT2; CCNE2; PIK3CA; BID; CCNE1; NEDD4; RB1; PIK3CD; PIK3R3; PIK3R2; PIK3R1; JAK1; NFKB1; NFKB2; MAPK9; LYN; ENTPD1; RAC1; CDK4; FADD; MAPK8; CHUK; TNF; BCL2L11; MDM2; MYC; SEM1; PSMD4; E2F3; CASP3; E2F1; CCND1; TAB2; CCND2; AKT2; CASP9; TLR2; MAP3K14; TP53; CDK6; FAS; HES1; CCNA2; RBPJ; BCL2	4609; 5708; 23118; 595; 596; 4193; 6773; 6774; 1147; 637; 4734; 3716; 567; 3725; 5290; 5293; 6416; 5295; 5296; 4790; 4791; 4792; 842; 207; 3280; 208; 894; 5879; 10000; 4067; 10018; 5925; 7979; 8503; 5599; 9020; 836; 1869; 355; 890; 898; 8772; 581; 9134; 7097; 3516; 960; 953; 7124; 5710; 1871; 3551; 5601; 3569; 7157; 3065; 3066; 1019; 1021	202	201
1.38205694621e-11	9.87665085953e-11	Hippo signaling pathway - Homo sapiens (human)	KEGG	path:hsa04390	WNT3A; TGFB1; TGFB2; PPP2CB; ACTG1; RASSF1; SMAD7; PPP2R1B; SMAD2; SMAD3; CTNNB1; LATS2; FZD5; SOX2; SERPINE1; YWHAZ; AXIN2; FZD6; FZD9; WWC1; YWHAQ; PARD6B; DVL2; SMAD4; YWHAH; CDH1; MYC; YWHAG; YWHAE; TGFBR2; TGFBR1; BMP8B; SMAD1; STK3; SNAI2; ACTB; YAP1; PPP1CA; CCND1; WNT1; CCND2; ID2; TCF7L1; TCF7L2; GSK3B; SCRIB; BMPR2; APC; WNT5A; AMOT	4609; 6657; 60; 71; 595; 8313; 8323; 84612; 8326; 656; 659; 154796; 10413; 7855; 89780; 10971; 23286; 6934; 6788; 7471; 7474; 1856; 324; 3398; 7532; 7533; 7534; 7531; 2932; 5499; 894; 7040; 7042; 7046; 7048; 5516; 5519; 26524; 11186; 5054; 6591; 23513; 1499; 999; 83439; 4086; 4087; 4088; 4089; 4092	157	157
2.70133128696e-11	1.88450015971e-10	Thyroid hormone signaling pathway - Homo sapiens (human)	KEGG	path:hsa04919	HDAC1; HDAC2; ACTG1; MAP2K1; KAT2B; HIF1A; CTNNB1; AKT1; PLCG1; AKT3; GSK3B; GATA4; NCOA3; SLC9A1; PIK3CA; PIK3CD; PFKP; PIK3R3; PIK3R2; PIK3R1; MYC; ATP2A2; FOXO1; AKT2; MTOR; KAT2A; MDM2; EP300; KRAS; TP53; ESR1; MED13L; PFKFB2; NOTCH1; NOTCH2; CASP9; CCND1; PRKACA; ATP1A1; PRKACB; PDPK1; ACTB	4609; 8202; 3091; 23389; 5170; 2099; 2626; 71; 595; 2648; 5214; 4193; 8850; 5290; 5293; 5295; 5296; 207; 208; 5335; 4851; 4853; 5208; 2308; 3845; 10000; 8503; 842; 1499; 60; 2932; 6548; 2475; 5566; 5567; 476; 5604; 488; 2033; 7157; 3065; 3066	121	121
3.05181652226e-11	2.07949358377e-10	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	PDGFRB; PTK2; ACTG1; MAP2K1; ITGA9; PIK3CD; ITGA2; EGFR; ITGA5; ITGA6; CTNNB1; AKT1; AKT2; AKT3; ARHGAP5; CRK; ZYX; MET; PIK3CA; JUN; THBS1; PIK3R3; PIK3R2; PIK3R1; MAPK8; MAPK9; KDR; ERBB2; IGF1R; SHC1; RAC1; ITGB8; VCL; RAP1B; CCND2; ITGB1; COL4A1; FLNA; HGF; LAMC1; VEGFA; SOS2; ACTN4; CCND1; PPP1CA; XIAP; ROCK2; GSK3B; PTEN; BRAF; PAK4; PDPK1; ACTB; BCL2; LAMC2; PAK1; PAK2; CDC42	1398; 3082; 2064; 10298; 5159; 5170; 60; 5728; 3655; 2316; 81; 595; 3673; 3678; 3680; 3688; 3696; 5747; 5908; 4233; 3725; 7791; 673; 5290; 5293; 5295; 5296; 3791; 208; 207; 7414; 5879; 7422; 1282; 9475; 10000; 8503; 6464; 3915; 3918; 998; 2932; 5499; 894; 394; 7057; 3480; 1956; 71; 5058; 331; 5062; 1499; 5599; 5601; 5604; 596; 6655	201	201
6.67554496889e-11	4.44530608155e-10	Glioma - Homo sapiens (human)	KEGG	path:hsa05214	PDGFRB; EGFR; MAP2K1; AKT1; PLCG1; AKT3; CALM2; PIK3CA; PIK3CD; RB1; PIK3R3; PIK3R2; PIK3R1; IGF1R; CDKN2A; SHC1; CAMK2D; MTOR; BAX; TP53; MDM2; KRAS; E2F3; SOS2; E2F1; CCND1; AKT2; PTEN; CDK4; BRAF; CDK6	2475; 3845; 1871; 10000; 3480; 5295; 805; 5159; 5293; 817; 8503; 1029; 6464; 673; 1869; 207; 208; 595; 5335; 1956; 5925; 5728; 4193; 1019; 5604; 581; 1021; 5296; 7157; 6655; 5290	75	75
1.21257688893e-10	7.89522285462e-10	ErbB signaling pathway - Homo sapiens (human)	KEGG	path:hsa04012	PTK2; PIK3CD; EGFR; MAP2K1; GAB1; AKT1; PLCG1; AKT3; MAP2K4; CRK; PIK3CA; RPS6KB1; PIK3R3; PIK3R2; PIK3R1; MYC; MAPK9; EREG; ERBB2; SHC1; ERBB4; CAMK2D; JUN; MTOR; MAPK8; KRAS; SOS2; AKT2; GSK3B; BRAF; PAK4; PAK1; PAK2	4609; 2475; 3845; 3725; 5293; 2064; 2066; 5601; 2069; 10000; 673; 1956; 5290; 817; 6198; 8503; 6464; 5058; 5062; 207; 208; 5335; 5604; 10298; 5599; 6416; 5295; 5747; 2932; 2549; 1398; 6655; 5296	85	85
1.62041836751e-10	1.03213604713e-09	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	IFIH1; TNFSF10; ACTG1; CCL5; NFKBIA; BAX; PIK3R3; IKBKB; TNFRSF10B; AKT2; AKT3; IL1A; VDAC1; EIF2S1; IL1B; XPO1; STAT2; KPNA6; PIK3CA; BID; PIK3CD; JAK2; PIK3R2; PIK3R1; JAK1; NFKB1; KPNA2; CDK6; IFNG; FADD; CHUK; SLC25A5; TNF; FASLG; RAE1; EP300; HNRNPUL1; IL18; CASP3; SOCS3; AKT1; CXCL8; MAP2K1; CASP9; IL6; TLR3; CDK4; TLR7; KPNA1; FAS; ACTB	3606; 60; 8772; 581; 71; 51284; 8795; 208; 6773; 1147; 637; 3716; 3717; 64135; 5290; 5293; 5295; 5296; 4790; 4792; 842; 207; 6352; 8743; 7416; 3836; 3838; 10000; 8480; 292; 9021; 836; 7514; 11100; 355; 356; 8503; 3458; 2033; 1965; 7098; 3576; 7124; 3551; 3552; 3553; 5604; 23633; 3569; 1019; 1021	172	172
